Nome scuola;Indirizzo;Grado;Forma
Istituto Comprensivo Statale "Graziella Murari";VIA BERTO BARBARANI, 4,  Valeggio sul Mincio;Secondaria I Grado;Pubblica
Istituto Comprensivo Statale "Graziella Murari";VIA BERTO BARBARANI, 4,  Valeggio sul Mincio;Primaria;Pubblica
Scuola Infanzia Parrocchiale;Via G. Marconi, 22, Valeggio sul mincio;Infanzia;Privata
Scuola Infanzia Statale "Gasilda Poli" Di Salionze;Via A. del Bue 1, Valeggio sul mincio;Infanzia;Pubblica
'Scuola Infanzia Statale Ca'' Prato';'Via Ca'' Prato, Valeggio sul mincio';Infanzia;Pubblica
Scuola Infanzia Statale Valeggio Sul Mincio;Via degli Alpini 1, valeggio sul mincio;Infanzia;Pubblica
Gatto Nando;Via degli Alpini, 3, valeggio sul mincio;Asilo nido;Pubblica
Gli Gnomi;Loc. Vanoni-Remelli, 56, valeggio sul mincio;Asilo nido;Pubblica
Ipsar Luigi Carnacina ;Via Trieste, 27, 37067 Valeggio sul Mincio VR;Secondaria II Grado;Pubblica
